Agency Name,Agency Code
U.S. Military Academy,ARMA
U.S. Army Medical Command,ARMC
Surgeon General,ARMD
Army Human Resources Command,ARMP
Military Surface Deployment and Distribution Command,ARMT
U.S. Army Military District of Washington,ARMW
Army National Guard Units,ARNG
"U.S. Army, Pacific",ARP1
Eighth U.S. Army,ARP8
Military Entrance Processing Command,ARPC
U.S. Army Recruiting Command,ARRC
Office of the Secretary of the Army,ARSA
Field Operating Offices of the Office of the Secretary of the Army,ARSB
U.S. Army Space and Missile Defense Command/U. S. Army Forces Strategic Command,ARSC
HQDA Field Operating Agencies and Staff Support Agencies,ARSE
Miscellaneous Field Operating Agencies,ARSF
"Joint Services and Activities Supported by the Office, Secretary of the Army",ARSJ
U.S. Special Operations Command (Army),ARSP
Staff Support Agencies of Chief of Staff,ARSS
U.S. Army Southern Command,ARSU
U.S. Army Training and Doctrine Command,ARTC
"Headquarters, AMC",ARX2
"Headquarters, Staff Support Activities, AMC",ARX3
"Training Activities, AMC",ARX4
"Army Materiel Command, All Others",ARX5
U.S. Army Aviation and Missile Command,ARX6
Army Tank-Automotive and Armament Command (TACOM),ARX7
U.S. Army Communications Electronics Command,ARX8
United States Army Medical Logistics Command,ARX9
United States Army Installation Management Command,ARXA
U.S. Army Chemical Materials Activity,ARXB
U.S. Army Sustainment Command,ARXC
U.S. Army Contracting Command,ARXD
Materiel Acquisition Activities,ARXK
Materiel Acquisition Project Managers,ARXL
U.S. Army Security Assistance Command,ARXP
U.S. Army Joint Munitions Command,ARXQ
U.S. Army Military Surface Deployment and Distribution Command,ARXT
U.S. Army Data Analysis Center,ARXX
Technology Administration,CM33
Office of the Secretary,CM51
Economic Development Administration,CM52
Bureau of Economic Analysis,CM53
National Oceanic and Atmospheric Administration,CM54
"Commerce, International Trade Administration",CM55
Patent and Trademark Office,CM56
National Institute of Standards and Technology,CM57
Minority Business Development Agency,CM59
National Telecommunications and Information Administration,CM61
National Technical Information Service,CM62
U.S. Census Bureau,CM63
Office of the Inspector General,CM64
Economics and Statistics Administration,CM65
Bureau of Industry and Security,CM67
Office of the Secretary of Defense,DD01
Organization of the Joint Chiefs of Staff,DD02
Defense Information Systems Agency,DD04
Defense Intelligence Agency,DD05
Defense Security Cooperation Agency,DD06
Defense Logistics Agency,DD07
U.S. Court of Appeals for the Armed Forces,DD08
American Forces Information Service,DD09
Defense Contract Audit Agency,DD10
National Geospatial-Intelligence Agency,DD11
Defense Counterintelligence and Security Agency,DD12
Defense Advanced Research Projects Agency,DD13
Uniformed Services University of the Health Sciences,DD15
Department of Defense Education Activity,DD16
TRI-CARE Support Office - terminated March 2001,DD17
Washington Headquarters Services,DD21
Office of the Local Defense Community Corporation,DD23
Defense Legal Services Agency,DD25
Office of Inspector General,DD26
Missile Defense Agency,DD27
National Security Agency/Central Security Service,DD28
Defense Technology Security Administration,DD29
Defense Commissary Agency,DD34
Defense Finance and Accounting Service,DD35
Army and Air Force Exchange Service (nonappropriated fund),DD36
Defense Human Resources Activity,DD48
Defense Support Activity - terminated March 2001,DD50
Defense Prisoner of War/Missing Personnel Office,DD58
Consolidated Metropolitan Technical Personnel Center,DD59
Defense Health Agency,DD60
Defense Threat Reduction Agency,DD61
Defense Career Management and Support Agency,DD62
Defense Contract Management Agency,DD63
Eastern Regional Support Center,DD64
Pentagon Force Protection Agency,DD65
Department of Defense Counterintelligence Field Activity,DD66
"Offices, Boards and Divisions",DJ01
Federal Bureau of Investigation,DJ02
"Justice, Bureau of Prisons/Federal Prison System",DJ03
Drug Enforcement Administration,DJ06
Office of Justice Programs,DJ07
U.S. Marshals Service,DJ08
Executive Office for U.S. Attorneys and the Office of the U.S. Attorneys,DJ09
Office of the Inspector General,DJ10
U.S. Trustee Program,DJ11
Executive Office for Immigration Review,DJ12
Community Relations Service,DJ14
"Bureau of Alcohol, Tobacco, Firearms, and Explosives",DJ15
Office of the Secretary of Labor,DLAA
Office of the Assistant Secretary for Administration and Management,DLAM
Bureau of International Labor Affairs,DLBL
Office of Congressional and Intergovernmental Affairs,DLCA
Office of the Chief Financial Officer,DLCF
Office of Disability Employment Policy,DLEH
Employment Standards Administration,DLES
Employment and Training Administration,DLET
Office of Inspector General,DLIG
Bureau of Labor Statistics,DLLS
Mine Safety and Health Administration,DLMS
National Skill Standards Board - terminated July 2003,DLNS
Office of Public Affairs,DLPA
Office of the Assistant Secretary for Policy,DLPE
Employee Benefits Security Administration,DLPW
Occupational Safety and Health Administration,DLSH
Office of the Solicitor,DLSL
Veterans' Employment and Training Service,DLVE
Women's Bureau,DLWB
Immediate Office of the Secretary of Education,EDEA
Office of the Deputy Secretary of Education,EDEB
Office for Civil Rights,EDEC
Office of the Under Secretary,EDEE
Office of Inspector General,EDEF
Office of the General Counsel,EDEG
Office of Special Education and Rehabilitative Services,EDEH
Office of the Chief Information Officer,EDEI
Office of Legislation and Congressional Affairs,EDEJ
Office of Finance and Operations,EDEK
Office of the Chief Financial Officer,EDEL
Office of Management,EDEM
Federal Student Aid,EDEN
Office of Postsecondary Education,EDEP
Office of Safe and Drug-Free Schools,EDEQ
Institute of Education Sciences,EDER
Office of Elementary and Secondary Education,EDES
Office of English Language Acquisition,EDET
Office of Innovation and Improvement,EDEU
"Office of Career, Technical, and Adult Education",EDEV
National Institute for Literacy,EDEX
Advisory Councils and Committees,EDEY
National Assessment Governing Board,EDEZ
"Energy, Bonneville Power Administration",DNBN
Immediate Office of the Administrator,GS01
Public Buildings Service,GS03
Office of Civil Rights,GS04
Office of Small Business Utilization,GS10
Office of the Chief Financial Officer,GS11
Office of General Counsel,GS12
Civilian Board of Contract Appeals,GS13
Office of Human Resources Management,GS14
Office of Inspector General,GS15
Office of Citizen Services and Innovative Technologies,GS19
Office of Congressional and Intergovernmental Affairs,GS20
Office of Smart Card Initiatives - terminated Dec 2002,GS21
Offices of the Regional Administrators,GS22
Federal Supply Service,GS24
Information Technology Service - terminated July 1998,GS25
Office of Governmentwide Policy,GS26
Federal Technology Service,GS27
Office of the Chief Information Officer,GS28
Office of Childcare,GS29
Office of the Secretary of Health and Human Services,HE10
Program Support Center,HE11
Administration for Community Living,HE12
Office of the Assistant Secretary for Health,HE31
Substance Abuse and Mental Health Services Administration,HE32
Agency for Healthcare Research and Quality,HE33
Health Resources and Services Administration,HE34
Agency for Toxic Substances and Disease Registry,HE35
Food and Drug Administration,HE36
Indian Health Service,HE37
National Institutes of Health,HE38
Centers for Disease Control and Prevention,HE39
Centers for Medicare & Medicaid Services,HE70
Administration for Children and Families,HE90
DHS Headquarters,HSAA
Citizenship and Immigration Services,HSAB
U.S. Coast Guard,HSAC
U.S. Secret Service,HSAD
Office of the Inspector General,HSAE
National Protection and Programs Directorate,HSBA
Immigration and Customs Enforcement,HSBB
Transportation Security Administration,HSBC
Customs and Border Protection,HSBD
Federal Law Enforcement Training Centers,HSBE
Cybersecurity and Infrastructure Security Agency,HSCA
Federal Emergency Management Agency,HSCB
Domestic Nuclear Detection Office,HSDA
Office for Information Analysis,HSDB
Office for Infrastructure Protection,HSDC
Under Secretary for Management,HSEA
Science and Technology Directorate,HSFA
Office of the Senior Coordinator for New England,HU01
Office of the Senior Coordinator for New York/New Jersey,HU02
Office of the Senior Coordinator for Mid-Atlantic,HU03
Office of the Senior Coordinator for Southeast/Caribbean,HU04
Office of the Senior Coordinator for Midwest,HU05
Office of the Senior Coordinator for Southwest,HU06
Office of the Senior Coordinator for Great Plains,HU07
Office of the Senior Coordinator for Rocky Mountains,HU08
Office of the Senior Coordinator for Pacific/Hawaii,HU09
Office of the Senior Coordinator for Northwest/Alaska,HU10
Office of the Secretary of Housing and Urban Development,HUAA
Office of the Chief Human Capital Officer,HUBB
Office of General Counsel,HUCC
Assistant Secretary for Community Planning and Development,HUDD
Assistant Secretary for Fair Housing and Equal Opportunity,HUEE
Office of the Chief Financial Officer,HUFF
Office of Inspector General,HUGG
Office of Departmental Operations and Coordination,HUII
Assistant Secretary for Congressional and Intergovernmental Relations,HUJJ
Center for Faith-Based and Community Initiatives,HUKA
Office of Field Policy and Management,HUKK
Office of Healthy Homes and Lead Hazard Control,HULL
Assistant Secretary for Housing-Federal Housing Commissioner,HUMM
Office of the Chief Procurement Officer,HUNN
Office of Federal Housing Enterprise Oversight,HUOO
Assistant Secretary for Public and Indian Housing,HUPP
Office of the Chief Information Officer,HUQQ
Assistant Secretary for Policy Development and Research,HURR
Government National Mortgage Association (Ginnie Mae),HUTT
Office of Departmental Equal Employment Opportunity,HUUU
Office of Disaster Management and National Security,HUVV
Assistant Secretary for Public Affairs,HUWW
Office of Strategic Planning and Management,HUXX
Office of Sustainable Housing and Communities,HUYY
Office of the Secretary of the Interior,IN01
Bureau of Land Management,IN05
"Interior, Bureau of Indian Affairs",IN06
Bureau of Reclamation,IN07
Geological Survey,IN08
National Park Service,IN10
U.S. Fish and Wildlife Service,IN15
Office of the Solicitor,IN21
Office of Surface Mining Reclamation and Enforcement,IN22
"Bureau of Ocean Energy Management, Regulation, and Enforcement",IN23
Office of Inspector General,IN24
"Headquarters, NASA",NN10
Ames Research Center,NN21
John Glenn Research Center at Lewis Field,NN22
Langley Research Center,NN23
Armstrong Flight Research Center,NN24
Goddard Space Flight Center,NN51
George C. Marshall Space Flight Center,NN62
John C. Stennis Space Center,NN64
Lyndon B. Johnson Space Center,NN72
Space Station Program Office,NN73
John F. Kennedy Space Center,NN76
Immediate Office of the Secretary of the Navy,NV08
Navy Staff Offices,NV09
Navy Field Offices,NV10
Immediate Office of the Chief of Naval Operations,NV11
Secretary of the Navy Offices (SECNAV),NV12
Office of Naval Research,NV14
Naval Intelligence Command,NV15
Naval Medical Command,NV18
Naval Air Systems Command,NV19
Bureau of Naval Personnel,NV22
Naval Supply Systems Command,NV23
Naval Sea Systems Command,NV24
Naval Facilities Engineering Systems Command,NV25
U.S. Marine Corps,NV27
STRATEGIC SYSTEMS PROGRAMS (SSP),NV30
Military Sealift Command,NV33
"Commander, Naval Information Warfare Systems Command (NAVWARSYSCOM)",NV39
Naval Systems Management Activity,NV41
United States Fleet Forces Command,NV60
"U.S. Naval Forces, Europe",NV61
Chief of Naval Education and Training,NV62
Naval Network Operations Cmd - terminated Jan 2003,NV63
Naval Meteorology and Oceanography Command,NV65
Naval Security Group Command,NV69
U.S. Pacific Fleet,NV70
Naval Reserve Force,NV72
Naval Special Warfare Command,NV74
U.S. Special Operations Command (Navy),NVZS
Armed Forces Retirement Home,RH00
Office of the Secretary of Transportation,TD01
Federal Aviation Administration,TD03
Federal Highway Administration,TD04
Federal Railroad Administration,TD05
Great Lakes Saint Lawrence Seaway Development Corporation,TD06
Federal Transit Administration,TD09
National Highway Traffic Safety Administration,TD10
Research and Innovative Technology Administration,TD11
Office of Inspector General,TD12
Maritime Administration,TD13
Surface Transportation Board,TD15
Pipeline and Hazardous Materials Safety Administration,TD16
Federal Motor Carrier Safety Administration,TD17
Office of Thrift Supervision,TR35
Alcohol and Tobacco Tax and Trade Bureau,TR40
"Treasury, Departmental Offices",TR91
Internal Revenue Service,TR93
Office of Inspector General,TR95
Bureau of the Fiscal Service (FMS),TRAA
Bureau of the Fiscal Service (BPD),TRAB
U.S. Mint,TRAD
"Treasury, Financial Crimes Enforcement Network",TRAF
Bureau of Engraving and Printing,TRAI
Office of the Comptroller of the Currency,TRAJ
Office of the Inspector General for Tax Administration,TRTG
Office of the Secretary,VAAA
Board of Contract Appeals,VAAC
Board of Veterans' Appeals,VAAD
General Counsel,VAAE
"Veterans Affairs, Inspector General",VAAF
Office of Small & Disadvantaged Business Utilization,VAAH
Immediate Office of the Assistant Secretary for Human Resources and Administration,VABA
Deputy Asst Sec for Security & Law Enforcement - terminated,VABB
Office of the Chief Human Capital Officer,VABC
Assistant Secretary for Diversity and Inclusion,VABD
Deputy Assistant Secretary for Administration,VABE
Deputy Assistant Secretary for Office of Resolution Management,VABF
Deputy Assistant Secretary for Corporate Senior Executive Management,VABG
Immediate Office of the Assistant Secretary for Management,VADA
Deputy Assistant Secretary for Budget,VADC
Deputy Assistant Secretary for Finance,VADD
"Executive Director, Office of Acquisition and Logistics",VADG
Immediate Office of the Assistant Secretary for Information and Technology,VAEA
Deputy Assistant Secretary for Information and Technology,VAEB
Office of Enterprise Integration,VAHA
Deputy Assistant Secretary for Program and Data Analysis,VAHB
Deputy Assistant Secretary for Planning and Evaluation,VAHC
